Date,Open,High,Low,Close,Adj Close,Volume
4/18/2019,65,66,60.320999,62,62,25764700
4/22/2019,61,68.900002,59.939999,65.699997,65.699997,9949700
4/23/2019,66.870003,74.168999,65.550003,69,69,6786500
4/24/2019,71.400002,71.5,63.16,63.200001,63.200001,4973500
4/25/2019,64.739998,66.849998,62.599998,65,65,3863300
4/26/2019,66.120003,66.989998,63.599998,66.220001,66.220001,1527400
4/29/2019,66.529999,68.5,64.75,68.169998,68.169998,1822300
4/30/2019,68.400002,72.519997,66.669998,72.470001,72.470001,4113100
5/1/2019,72.720001,76.949997,70.816002,72.760002,72.760002,3301900
5/2/2019,72.75,75.889999,69.691002,75.5,75.5,2525300
5/3/2019,75,80.25,75,79.18,79.18,2590300
5/6/2019,75.010002,80.790001,74.5,78.239998,78.239998,2051800
5/7/2019,77.849998,78.050003,73.25,73.330002,73.330002,1975200
5/8/2019,74.610001,78.5,74.029999,77.68,77.68,2265500
5/9/2019,76.849998,76.989998,74,75.209999,75.209999,1348200
5/10/2019,75.790001,79.739998,74.769997,79.629997,79.629997,1555100
5/13/2019,77.389999,77.389999,70.599998,72.540001,72.540001,2873200
5/14/2019,74.120003,76.885002,73.110001,73.139999,73.139999,1950400
5/15/2019,73.400002,80,72.209999,79.760002,79.760002,2426500
5/16/2019,80.120003,87.550003,79.25,83.400002,83.400002,4580700
5/17/2019,82.25,90.279999,81.879997,89.980003,89.980003,3442500
5/20/2019,90.099998,91.459999,83.269997,84.669998,84.669998,3666800
5/21/2019,86.629997,89.699997,84.5,85.440002,85.440002,2576000
5/22/2019,84.629997,85.699997,82,82.43,82.43,1596400
5/23/2019,81.25,81.5,77.260002,78.760002,78.760002,2856000
5/24/2019,80.480003,81.25,74.199997,76.25,76.25,2946800
5/28/2019,76.800003,79.389999,76.800003,77.769997,77.769997,1641300
5/29/2019,77,77.93,73.583,75.769997,75.769997,1512100
5/30/2019,76.68,80.970001,76.599998,80.419998,80.419998,1996000
5/31/2019,78.769997,83.169998,77.779999,79.730003,79.730003,1594300
6/3/2019,80,81.940002,75.650002,75.900002,75.900002,1570500
6/4/2019,78.199997,78.879997,76.620003,78.739998,78.739998,1134900
6/5/2019,80.139999,80.599998,76.239998,78.040001,78.040001,1295800
6/6/2019,77.400002,79.75,77.029999,79.43,79.43,3024000
6/7/2019,93.660004,98.889999,92.5,94.050003,94.050003,9487800
6/10/2019,98.510002,105.985001,96,102,102,4852800
6/11/2019,101,101.199997,91.57,94.870003,94.870003,4372400
6/12/2019,94.599998,104.184998,94,102.769997,102.769997,3156900
6/13/2019,105.099998,105.171997,98.550003,100.949997,100.949997,3189100
6/14/2019,100.470001,104.57,99.25,100.290001,100.290001,1889300
6/17/2019,101,102.446999,97,98.110001,98.110001,2128500
6/18/2019,100.389999,102,97.510002,99.639999,99.639999,2272400
6/19/2019,100.489998,104.445,98.629997,102.389999,102.389999,2592700
6/20/2019,105.010002,107.339996,101.621002,102.300003,102.300003,2460700
6/21/2019,101.419998,101.531998,97.82,100.470001,100.470001,2972500
6/24/2019,100.849998,101.5,88.879997,89.410004,89.410004,6011200
6/25/2019,89.43,91.5,84.629997,85.029999,85.029999,3744500
6/26/2019,87.919998,89.080002,84.605003,86.330002,86.330002,2680000
6/27/2019,89.699997,92.330002,87.800003,90.269997,90.269997,3019500
6/28/2019,91.760002,92.199997,87.25,88.790001,88.790001,3228300
